"id_str","time_UTC","time_East_US","local_hour","afinn_score","bing_positive","bing_negative","bing_nett"
659427188110856192,2015-10-28 17:51:07,2015-10-28 13:51:07,13,2,NA,NA,NA
659571636820013056,2015-10-29 03:25:07,2015-10-28 23:25:07,23,2,1,0,1
659572294696603648,2015-10-29 03:27:43,2015-10-28 23:27:43,23,3,2,0,2
659573618502795264,2015-10-29 03:32:59,2015-10-28 23:32:59,23,2.5,1,0,1
659579319166091264,2015-10-29 03:55:38,2015-10-28 23:55:38,23,2,2,0,2
659608940200779776,2015-10-29 05:53:20,2015-10-29 01:53:20,1,2.66666666666667,3,0,3
659610110940086272,2015-10-29 05:58:00,2015-10-29 01:58:00,1,2.5,2,0,2
659743857127456768,2015-10-29 14:49:27,2015-10-29 10:49:27,10,2,1,0,1
659751822375018496,2015-10-29 15:21:06,2015-10-29 11:21:06,11,3,2,0,2
659753771791024128,2015-10-29 15:28:51,2015-10-29 11:28:51,11,3,1,0,1
659827285852225536,2015-10-29 20:20:58,2015-10-29 16:20:58,16,2,2,0,2
659827931099754496,2015-10-29 20:23:32,2015-10-29 16:23:32,16,2,1,0,1
659912445922844672,2015-10-30 01:59:22,2015-10-29 21:59:22,21,1,NA,NA,NA
660534094493782016,2015-10-31 19:09:34,2015-10-31 15:09:34,15,3,1,0,1
660534676851974144,2015-10-31 19:11:53,2015-10-31 15:11:53,15,3,2,0,2
660645187874590720,2015-11-01 02:31:01,2015-10-31 22:31:01,22,-2,1,2,-1
660888538473439232,2015-11-01 18:38:00,2015-11-01 13:38:00,13,-0.5,0,2,-2
661541465714253824,2015-11-03 13:52:30,2015-11-03 08:52:30,8,-0.5,0,2,-2
661782872798416896,2015-11-04 05:51:46,2015-11-04 00:51:46,0,1.03754266211604,614,812,-198
698115252844634112,2016-02-12 12:03:41,2016-02-12 07:03:41,7,-2,0,2,-2
698210486437937152,2016-02-12 18:22:06,2016-02-12 13:22:06,13,0.5,1,1,0
698210543467896832,2016-02-12 18:22:20,2016-02-12 13:22:20,13,-2,0,3,-3
698231571594276864,2016-02-12 19:45:53,2016-02-12 14:45:53,14,0,1,3,-2
698334356079833088,2016-02-13 02:34:19,2016-02-12 21:34:19,21,-1,0,1,-1
698336821349117952,2016-02-13 02:44:07,2016-02-12 21:44:07,21,-2,0,1,-1
698338315205013504,2016-02-13 02:50:03,2016-02-12 21:50:03,21,NA,0,1,-1
698522430847983616,2016-02-13 15:01:40,2016-02-13 10:01:40,10,-2,0,1,-1
698546455309611008,2016-02-13 16:37:07,2016-02-13 11:37:07,11,NA,1,1,0
698546735652716544,2016-02-13 16:38:14,2016-02-13 11:38:14,11,-1,NA,NA,NA
698557567254056960,2016-02-13 17:21:17,2016-02-13 12:21:17,12,-1,NA,NA,NA
698557683838947328,2016-02-13 17:21:45,2016-02-13 12:21:45,12,2,3,0,3
698658112031604736,2016-02-14 00:00:49,2016-02-13 19:00:49,19,1.66666666666667,5,1,4
698660826463539200,2016-02-14 00:11:36,2016-02-13 19:11:36,19,-2.5,0,3,-3
698661220258357248,2016-02-14 00:13:10,2016-02-13 19:13:10,19,-3,0,2,-2
698677500491075584,2016-02-14 01:17:51,2016-02-13 20:17:51,20,4,1,0,1
698739578002403328,2016-02-14 05:24:32,2016-02-14 00:24:32,0,NA,1,1,0
698740358688194560,2016-02-14 05:27:38,2016-02-14 00:27:38,0,0,1,1,0
698751641873444864,2016-02-14 06:12:28,2016-02-14 01:12:28,1,0,1,2,-1
698755140602499072,2016-02-14 06:26:22,2016-02-14 01:26:22,1,2,1,0,1
698882048069652480,2016-02-14 14:50:39,2016-02-14 09:50:39,9,-3,0,1,-1
698882145297764352,2016-02-14 14:51:02,2016-02-14 09:51:02,9,2,1,0,1
698921597466472448,2016-02-14 17:27:48,2016-02-14 12:27:48,12,2.33333333333333,3,0,3
699283203027292160,2016-02-15 17:24:42,2016-02-15 12:24:42,12,-1,2,2,0
699283248506105856,2016-02-15 17:24:53,2016-02-15 12:24:53,12,2,2,1,1
699284455282884608,2016-02-15 17:29:40,2016-02-15 12:29:40,12,-2,1,2,-1
699328126631870464,2016-02-15 20:23:12,2016-02-15 15:23:12,15,NA,0,1,-1
699341413448871936,2016-02-15 21:16:00,2016-02-15 16:16:00,16,2,2,0,2
699441442041815040,2016-02-16 03:53:29,2016-02-15 22:53:29,22,2.33333333333333,2,0,2
699447731606130688,2016-02-16 04:18:28,2016-02-15 23:18:28,23,2,1,0,1
699573221633425408,2016-02-16 12:37:08,2016-02-16 07:37:08,7,2,1,0,1
699654401481449472,2016-02-16 17:59:42,2016-02-16 12:59:42,12,3.5,2,0,2
699659811420553216,2016-02-16 18:21:12,2016-02-16 13:21:12,13,2,1,0,1
699702258792034304,2016-02-16 21:09:52,2016-02-16 16:09:52,16,0,1,0,1
699728584575946752,2016-02-16 22:54:29,2016-02-16 17:54:29,17,2,1,0,1
699733970158800896,2016-02-16 23:15:53,2016-02-16 18:15:53,18,2,1,0,1
699966498819940352,2016-02-17 14:39:52,2016-02-17 09:39:52,9,-2.5,0,2,-2
699966633918525440,2016-02-17 14:40:24,2016-02-17 09:40:24,9,-1,NA,NA,NA
699989306333650944,2016-02-17 16:10:30,2016-02-17 11:10:30,11,-3,0,1,-1
699989532180135936,2016-02-17 16:11:24,2016-02-17 11:11:24,11,1,1,0,1
699994606264586240,2016-02-17 16:31:34,2016-02-17 11:31:34,11,2,1,0,1
699995449718153216,2016-02-17 16:34:55,2016-02-17 11:34:55,11,2,1,0,1
700096775454138368,2016-02-17 23:17:33,2016-02-17 18:17:33,18,1,NA,NA,NA
700306531720499200,2016-02-18 13:11:02,2016-02-18 08:11:02,8,2,1,0,1
700311461734850560,2016-02-18 13:30:38,2016-02-18 08:30:38,8,2.5,2,0,2
700413065595113472,2016-02-18 20:14:22,2016-02-18 15:14:22,15,1,NA,NA,NA
700413494580084736,2016-02-18 20:16:04,2016-02-18 15:16:04,15,1,NA,NA,NA
700471960526987264,2016-02-19 00:08:24,2016-02-18 19:08:24,19,2,2,0,2
700472856350691328,2016-02-19 00:11:57,2016-02-18 19:11:57,19,2,1,0,1
700754883125886976,2016-02-19 18:52:38,2016-02-19 13:52:38,13,2,1,0,1
700779018405150720,2016-02-19 20:28:32,2016-02-19 15:28:32,15,NA,1,0,1
700779139985440768,2016-02-19 20:29:01,2016-02-19 15:29:01,15,2,1,0,1
700779226715316224,2016-02-19 20:29:22,2016-02-19 15:29:22,15,1.5,2,0,2
700779318260195328,2016-02-19 20:29:43,2016-02-19 15:29:43,15,1.66666666666667,2,0,2
700779489907892224,2016-02-19 20:30:24,2016-02-19 15:30:24,15,NA,1,0,1
700787183872057344,2016-02-19 21:00:59,2016-02-19 16:00:59,16,3,1,1,0
701558980682891264,2016-02-22 00:07:49,2016-02-21 19:07:49,19,2,3,0,3
701842514760724480,2016-02-22 18:54:29,2016-02-22 13:54:29,13,2,2,0,2
701940652339122176,2016-02-23 01:24:27,2016-02-22 20:24:27,20,2.5,3,0,3
701941907052634112,2016-02-23 01:29:26,2016-02-22 20:29:26,20,3,2,0,2
701943239054532608,2016-02-23 01:34:44,2016-02-22 20:34:44,20,2.5,3,0,3
701944029315923968,2016-02-23 01:37:52,2016-02-22 20:37:52,20,2,1,0,1
701945579333513216,2016-02-23 01:44:02,2016-02-22 20:44:02,20,2,1,0,1
701977550315098112,2016-02-23 03:51:04,2016-02-22 22:51:04,22,1.66666666666667,2,0,2
701999802033111040,2016-02-23 05:19:29,2016-02-23 00:19:29,0,2,1,0,1
702172591813857280,2016-02-23 16:46:06,2016-02-23 11:46:06,11,1,NA,NA,NA
